IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.94.15,2086,2086,false,NRT,Asia Pacific,Tokyo,100,12.80
150.230.99.173,2082,2082,false,NRT,Asia Pacific,Tokyo,102,12.79
141.147.169.195,2052,2052,false,NRT,Asia Pacific,Tokyo,102,12.79
155.248.186.182,2087,2087,true,NRT,Asia Pacific,Tokyo,79,12.79
131.186.34.11,2096,2096,true,NRT,Asia Pacific,Tokyo,101,12.78
158.179.188.159,2086,2086,false,NRT,Asia Pacific,Tokyo,97,12.77
168.138.198.53,2095,2095,false,NRT,Asia Pacific,Tokyo,99,12.76
141.147.181.148,2087,2087,true,NRT,Asia Pacific,Tokyo,105,12.76
141.147.175.230,2086,2086,false,NRT,Asia Pacific,Tokyo,118,12.75
155.248.179.132,8443,8443,true,NRT,Asia Pacific,Tokyo,112,12.75
168.138.217.146,2095,2095,false,NRT,Asia Pacific,Tokyo,97,12.75
141.147.113.78,443,443,true,FRA,Europe,Frankfurt,182,12.73
155.248.186.182,2086,2086,false,NRT,Asia Pacific,Tokyo,79,12.73
168.138.211.131,2087,2087,true,NRT,Asia Pacific,Tokyo,112,12.72
131.186.60.162,8880,8880,false,NRT,Asia Pacific,Tokyo,100,12.72
158.101.90.190,2086,2086,false,NRT,Asia Pacific,Tokyo,99,12.71
150.230.104.197,8080,8080,false,NRT,Asia Pacific,Tokyo,108,12.70
132.145.117.216,2082,2082,false,NRT,Asia Pacific,Tokyo,77,12.70
138.2.29.250,8080,8080,false,NRT,Asia Pacific,Tokyo,95,12.70
132.145.113.148,8080,8080,false,NRT,Asia Pacific,Tokyo,105,12.68
150.230.205.56,2053,2053,true,NRT,Asia Pacific,Tokyo,77,12.66
132.145.120.197,2053,2053,true,NRT,Asia Pacific,Tokyo,110,12.66
132.145.114.14,8880,8880,false,NRT,Asia Pacific,Tokyo,101,12.66
150.230.105.53,2086,2086,false,NRT,Asia Pacific,Tokyo,93,12.62
155.248.186.182,2095,2095,false,NRT,Asia Pacific,Tokyo,106,12.62
131.186.62.26,2052,2052,false,NRT,Asia Pacific,Tokyo,110,12.62
155.248.168.251,2053,2053,true,NRT,Asia Pacific,Tokyo,99,12.62
132.145.126.21,8080,8080,false,NRT,Asia Pacific,Tokyo,78,12.60
155.248.174.71,80,80,false,NRT,Asia Pacific,Tokyo,98,12.60
131.186.41.82,2086,2086,false,NRT,Asia Pacific,Tokyo,107,12.59
144.21.37.151,443,443,true,FRA,Europe,Frankfurt,182,12.58
150.230.205.56,2086,2086,false,NRT,Asia Pacific,Tokyo,97,12.58
158.179.189.235,80,80,false,NRT,Asia Pacific,Tokyo,104,12.58
132.145.123.14,2053,2053,true,NRT,Asia Pacific,Tokyo,78,12.57
168.138.196.237,2053,2053,true,NRT,Asia Pacific,Tokyo,102,12.56
168.138.206.68,2096,2096,true,NRT,Asia Pacific,Tokyo,99,12.55
141.147.160.86,2086,2086,false,NRT,Asia Pacific,Tokyo,110,12.55
158.179.183.2,2096,2096,true,NRT,Asia Pacific,Tokyo,98,12.55
150.230.213.95,2052,2052,false,NRT,Asia Pacific,Tokyo,103,12.55
168.138.217.146,8880,8880,false,NRT,Asia Pacific,Tokyo,103,12.55
